
"Rank","Name","Symbol","earnings_ttm","price (USD)","country"
"1","Volkswagen","VOW3.DE","29474700000","157.96","Germany"
"2","BMW","BMW.DE","28269900000","83.61","Germany"
"3","Toyota","TM","26342600000","161.35","Japan"
"4","Mercedes-Benz","MBG.DE","20184200000","68.99","Germany"
"5","Ford","F","16613000000","12.83","United States"
"6","General Motors","GM","12230000000","36","United States"
"7","Hyundai","HYMTF","10052300000","37","South Korea"
"8","Tesla","TSLA","9769000000","674.9","United States"
"9","Honda","HMC","9505650000","25.26","Japan"
"10","Kia","000270.KS","7420260000","66.63","South Korea"
"11","SAIC Motor","600104.SS","6305020000","2.58","China"
"12","Nissan","7201.T","3293120000","3.88","Japan"
"13","Stellantis","STLA","2786440000","14.51","Netherlands"
"14","Suzuki Motor","7269.T","2589220000","29.25","Japan"
"15","Volvo Car","VOLCAR-B.ST","2214700000","8.49","Sweden"
"16","Renault","RNO.PA","2214040000","25.95","France"
"17","Dongfeng Motor","0489.HK","2160200000","0.72","China"
"18","Mahindra &amp; Mahindra","M&M.NS","1776550000","12.15","India"
"19","Isuzu","7202.T","1651790000","12.3","Japan"
"20","Ferrari","RACE","1298590000","189.66","Italy"
"21","Great Wall Motors","601633.SS","1241090000","5.12","China"
"22","Mazda","7261.T","1029610000","8.75","Japan"
"23","BYD","002594.SZ","1029270000","44.4","China"
"24","Subaru","7270.T","960673000","16.57","Japan"
"25","Hotai Motor","2207.TW","916142000","19.6","Taiwan"
"26","Chongqing Changan","000625.SZ","870416000","2.06","China"
"27","Geely","0175.HK","773686000","1.82","China"
"28","Maruti Suzuki India","MARUTI.NS","642694000","101.87","India"
"29","Polaris","PII","581100000","100.72","United States"
"30","FAW Car","000800.SZ","451705000","1.29","China"
"31","Tofaş Türk Otomobil Fabrikası","TOASO.IS","430372000","4.65","Turkey"
"32","Li Auto","LI","40841800","23.47","China"
"33","Cenntro Electric Group","CENN","-15352200","1.68","United States"
"34","Mullen Automotive","MULN","-28732300","1.05","United States"
"35","Arcimoto","FUV","-55556000","3.81","United States"
"36","Sono","SEV","-66992100","3.04","Germany"
"37","Electra Meccanica","SOLO","-69803700","1.6","Canada"
"38","Aston Martin","A5SA.F","-266700000","8.55","United Kingdom"
"39","Lordstown Motors","RIDE","-382166000","2.08","United States"
"40","Fisker","FSR","-412563000","11.02","United States"
"41","Faraday Future","FFIE","-431434000","2.64","United States"
"42","Canoo","GOEV","-493618000","3.24","United States"
"43","REE Automotive","REE","-515496000","1.75","Israel"
"44","NIO","NIO","-520676000","16","China"
"45","Nikola","NKLA","-716863000","6.25","United States"
"46","XPeng","XPEV","-740373000","21.98","China"
"47","Tata Motors","TTM","-745771000","27.38","India"
"48","Arrival","ARVL","-1266020000","1.84","United Kingdom"
"49","Lucid Motors","LCID","-2229880000","18.4","United States"
"50","Rivian","RIVN","-5821000000","27.99","United States"
