
"Rank","Name","Symbol","employees_count","price (USD)","country"
"1","Volkswagen","VOW3.DE","645318","157.96","Germany"
"2","Toyota","TM","366283","161.35","Japan"
"3","Mahindra and Mahindra","M&M.NS","260000","12.15","India"
"4","BYD","002594.SZ","224280","44.4","China"
"5","Honda","HMC","211374","25.26","Japan"
"6","SAIC Motor","600104.SS","204815","2.58","China"
"7","Stellantis","STLA","204000","14.51","Netherlands"
"8","Ford","F","183000","12.83","United States"
"9","Mercedes-Benz","MBG.DE","173000","68.99","Germany"
"10","Renault","RNO.PA","170158","25.95","France"
"11","General Motors","GM","157000","36","United States"
"12","Nissan","7201.T","131461","3.88","Japan"
"13","Dongfeng Motor","0489.HK","124270","0.72","China"
"14","BMW","BMW.DE","120726","83.61","Germany"
"15","Tesla","TSLA","99290","674.9","United States"
"16","Tata Motors","TTM","75278","27.38","India"
"17","Hyundai","HYMTF","75000","37","South Korea"
"18","Suzuki Motor","7269.T","68739","29.25","Japan"
"19","Great Wall Motors","601633.SS","63174","5.12","China"
"20","Mazda","7261.T","49786","8.75","Japan"
"21","Volvo Car","VOLCAR-B.ST","40400","8.49","Sweden"
"22","Chongqing Changan","000625.SZ","40298","2.06","China"
"23","Isuzu","7202.T","36224","12.3","Japan"
"24","Subaru","7270.T","36070","16.57","Japan"
"25","Kia","000270.KS","34507","66.63","South Korea"
"26","Geely","0175.HK","34000","1.82","China"
"27","FAW Car","000800.SZ","21077","1.29","China"
"28","Maruti Suzuki India","MARUTI.NS","16025","101.87","India"
"29","Polaris","PII","15000","100.72","United States"
"30","NIO","NIO","7763","16","China"
"31","Rivian","RIVN","7500","27.99","United States"
"32","Tofaş Türk Otomobil Fabrikası","TOASO.IS","6482","4.65","Turkey"
"33","XPeng","XPEV","5084","21.98","China"
"34","Ferrari","RACE","4562","189.66","Italy"
"35","Li Auto","LI","4181","23.47","China"
"36","Arrival","ARVL","2438","1.84","United Kingdom"
"37","Aston Martin","A5SA.F","2342","8.55","United Kingdom"
"38","Lucid Motors","LCID","1861","18.4","United States"
"39","Canoo","GOEV","805","3.24","United States"
"40","Nikola","NKLA","450","6.25","United States"
"41","Faraday Future","FFIE","383","2.64","United States"
"42","Lordstown Motors","RIDE","320","2.08","United States"
"43","Fisker","FSR","300","11.02","United States"
"44","Arcimoto","FUV","232","3.81","United States"
"45","REE Automotive","REE","231","1.75","Israel"
"46","Sono","SEV","176","3.04","Germany"
"47","Electra Meccanica","SOLO","119","1.6","Canada"
"48","Mullen Automotive","MULN","44","1.05","United States"
"49","Hotai Motor","2207.TW","0","19.6","Taiwan"
"50","Cenntro Electric Group","CENN","0","1.68","United States"
