
"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Tesla","TSLA","699203190784","674.9","United States"
"2","Toyota","TM","223876366336","161.35","Japan"
"3","BYD","002594.SZ","119433687573","44.4","China"
"4","Volkswagen","VOW3.DE","106254441923","157.96","Germany"
"5","Mercedes-Benz","MBG.DE","73807293798","68.99","Germany"
"6","BMW","BMW.DE","54771678735","83.61","Germany"
"7","General Motors","GM","52496637952","36","United States"
"8","Ford","F","51573649408","12.83","United States"
"9","Stellantis","STLA","45457072128","14.51","Netherlands"
"10","Honda","HMC","43209756672","25.26","Japan"
"11","Great Wall Motors","601633.SS","36338420796","5.12","China"
"12","Ferrari","RACE","34680848384","189.66","Italy"
"13","Hyundai","HYMTF","31548901376","37","South Korea"
"14","Maruti Suzuki India","MARUTI.NS","30772010488","101.87","India"
"15","Lucid Motors","LCID","30688256000","18.4","United States"
"16","SAIC Motor","600104.SS","30118089443","2.58","China"
"17","NIO","NIO","28048640000","16","China"
"18","Kia","000270.KS","26712659248","66.63","South Korea"
"19","Volvo Car","VOLCAR-B.ST","25295399294","8.49","Sweden"
"20","Rivian","RIVN","24726366208","27.99","United States"
"21","Li Auto","LI","24241223680","23.47","China"
"22","Tata Motors","TTM","20969574400","27.38","India"
"23","XPeng","XPEV","19917111296","21.98","China"
"24","Geely","0175.HK","18256079636","1.82","China"
"25","Nissan","7201.T","15188570264","3.88","Japan"
"26","Mahindra &amp; Mahindra","M&M.NS","15103908044","12.15","India"
"27","Suzuki Motor","7269.T","14204552696","29.25","Japan"
"28","Chongqing Changan","000625.SZ","13810499648","2.06","China"
"29","Subaru","7270.T","12708628216","16.57","Japan"
"30","Hotai Motor","2207.TW","10705034478","19.6","Taiwan"
"31","Isuzu","7202.T","9072572902","12.3","Japan"
"32","Renault","RNO.PA","7528772336","25.95","France"
"33","Dongfeng Motor","0489.HK","6234894954","0.72","China"
"34","Polaris","PII","5992568320","100.72","United States"
"35","FAW Car","000800.SZ","5991756196","1.29","China"
"36","Mazda","7261.T","5513062551","8.75","Japan"
"37","Fisker","FSR","3275265536","11.02","United States"
"38","Nikola","NKLA","2632112384","6.25","United States"
"39","Tofaş Türk Otomobil Fabrikası","TOASO.IS","2323026180","4.65","Turkey"
"40","Arrival","ARVL","1174431616","1.84","United Kingdom"
"41","Aston Martin","A5SA.F","995597350","8.55","United Kingdom"
"42","Faraday Future","FFIE","798008640","2.64","United States"
"43","Canoo","GOEV","778688640","3.24","United States"
"44","Cenntro Electric Group","CENN","438910080","1.68","United States"
"45","Lordstown Motors","RIDE","420060160","2.08","United States"
"46","REE Automotive","REE","417278720","1.75","Israel"
"47","Mullen Automotive","MULN","349065152","1.05","United States"
"48","Sono","SEV","254075904","3.04","Germany"
"49","Electra Meccanica","SOLO","189777600","1.6","Canada"
"50","Arcimoto","FUV","147751040","3.81","United States"
