
"Rank","Name","Symbol","revenue_ttm","price (USD)","country"
"1","Volkswagen","VOW3.DE","288200620184","157.96","Germany"
"2","Toyota","TM","273352673343","161.35","Japan"
"3","Mercedes-Benz","MBG.DE","167284876362","68.99","Germany"
"4","Ford","F","134589000000","12.83","United States"
"5","BMW","BMW.DE","132821177491","83.61","Germany"
"6","General Motors","GM","130509000000","36","United States"
"7","Honda","HMC","126657627903","25.26","Japan"
"8","SAIC Motor","600104.SS","120271562291","2.58","China"
"9","Hyundai","HYMTF","102241900104","37","South Korea"
"10","Stellantis","STLA","101327331783","14.51","Netherlands"
"11","Nissan","7201.T","77743206034","3.88","Japan"
"12","Tesla","TSLA","62190000000","674.9","United States"
"13","Kia","000270.KS","60783996835","66.63","South Korea"
"14","Renault","RNO.PA","52336353341","25.95","France"
"15","BYD","002594.SZ","37778362432","44.4","China"
"16","Suzuki Motor","7269.T","31965305150","29.25","Japan"
"17","Volvo Car","VOLCAR-B.ST","31176182544","8.49","Sweden"
"18","Mazda","7261.T","27611305020","8.75","Japan"
"19","Subaru","7270.T","24692853023","16.57","Japan"
"20","Great Wall Motors","601633.SS","21684421573","5.12","China"
"21","Isuzu","7202.T","21279881388","12.3","Japan"
"22","Tata Motors","TTM","18350208768","27.38","India"
"23","Dongfeng Motor","0489.HK","17734812699","0.72","China"
"24","Chongqing Changan","000625.SZ","16814729755","2.06","China"
"25","Geely","0175.HK","15946243154","1.82","China"
"26","Mahindra &amp; Mahindra","M&M.NS","11422958281","12.15","India"
"27","Maruti Suzuki India","MARUTI.NS","11203733318","101.87","India"
"28","FAW Car","000800.SZ","10710231941","1.29","China"
"29","Hotai Motor","2207.TW","8625663809","19.6","Taiwan"
"30","Polaris","PII","8203900000","100.72","United States"
"31","NIO","NIO","5591262583","16","China"
"32","Li Auto","LI","5154896296","23.47","China"
"33","Ferrari","RACE","5005407439","189.66","Italy"
"34","XPeng","XPEV","3257897375","21.98","China"
"35","Tofaş Türk Otomobil Fabrikası","TOASO.IS","3049608975","4.65","Turkey"
"36","Aston Martin","A5SA.F","1428909557","8.55","United Kingdom"
"37","Lucid Motors","LCID","84612000","18.4","United States"
"38","Rivian","RIVN","55000000","27.99","United States"
"39","Cenntro Electric Group","CENN","8576832","1.68","United States"
"40","Arcimoto","FUV","3789691","3.81","United States"
"41","Electra Meccanica","SOLO","2955824","1.6","Canada"
"42","Canoo","GOEV","2550000","3.24","United States"
"43","Nikola","NKLA","2030000","6.25","United States"
"44","REE Automotive","REE","266000","1.75","Israel"
"45","Fisker","FSR","95000","11.02","United States"
"46","Sono","SEV","18120","3.04","Germany"
"47","Arrival","ARVL","0","1.84","United Kingdom"
"48","Lordstown Motors","RIDE","0","2.08","United States"
"49","Mullen Automotive","MULN","0","1.05","United States"
"50","Faraday Future","FFIE","0","2.64","United States"
